x,y,z
164896,-242638,6.37125e+06
-173546,-241937,6.37105e+06
185924,-241503,6.37071e+06
-152519,-240801,6.37163e+06
-32821.9,-239398,6.37342e+06
326559,-238965,6.36515e+06
-371101,-238697,6.36272e+06
-11786.7,-238263,6.37354e+06
347567,-237829,6.36408e+06
-350102,-237561,6.36395e+06
9248.86,-237128,6.37358e+06
368572,-236694,6.36294e+06
-329098,-236426,6.36511e+06
30284.6,-235992,6.37356e+06
389573,-235559,6.36173e+06
-308091,-235291,6.36621e+06
51320.3,-234857,6.37347e+06
-287080,-234156,6.36723e+06
192047,-232319,6.37087e+06
-146414,-231617,6.37211e+06
213074,-231183,6.37025e+06
-125383,-230482,6.3726e+06
234099,-230048,6.36955e+06
-104350,-229347,6.37302e+06
255121,-228913,6.36878e+06
-442508,-228645,6.35852e+06
-83316.6,-228211,6.37337e+06
-421522,-227510,6.35999e+06
395697,-226374,6.36169e+06
57438.5,-225673,6.37375e+06
416694,-225239,6.36039e+06
-280985,-224971,6.36784e+06
78474.8,-224538,6.37356e+06
437687,-224104,6.35902e+06
-259968,-223836,6.36877e+06
99510.6,-223402,6.37331e+06
-238949,-222701,6.36963e+06
120546,-222267,6.37299e+06
-217926,-221565,6.37042e+06
261245,-219728,6.36886e+06
-77205.3,-219027,6.37377e+06
282265,-218593,6.368e+06
-415441,-218325,6.36071e+06
-56169,-217892,6.37403e+06
303283,-217458,6.36707e+06
-394448,-217190,6.36208e+06
-35131.8,-216756,6.37422e+06
324297,-216323,6.36608e+06
-373450,-216055,6.36339e+06
-14094,-215621,6.37434e+06
345309,-215187,6.36501e+06
-352448,-214920,6.36463e+06
6944.21,-214486,6.37439e+06
-331442,-213784,6.36579e+06
126666,-213083,6.37318e+06
-211824,-212381,6.37094e+06
147701,-211947,6.37277e+06
-190797,-211246,6.37164e+06
168734,-210812,6.37228e+06
-169768,-210110,6.37228e+06
189766,-209677,6.37173e+06
-148737,-208975,6.37284e+06
210795,-208541,6.3711e+06
-127704,-207840,6.37333e+06
351432,-206003,6.36498e+06
13060.9,-205301,6.37468e+06
372440,-204868,6.36382e+06
-325350,-204600,6.36641e+06
34100.2,-204166,6.37464e+06
393443,-203732,6.36259e+06
-304338,-203465,6.36748e+06
55139.5,-203031,6.37453e+06
414443,-202597,6.3613e+06
-283322,-202329,6.36849e+06
76178.4,-201896,6.37435e+06
-262303,-201194,6.36943e+06
216918,-199357,6.37119e+06
-121594,-198656,6.37375e+06
237946,-198222,6.37048e+06
-100558,-197520,6.37415e+06
258971,-197087,6.36969e+06
-438780,-196819,6.35984e+06
-79520.1,-196385,6.37448e+06
279994,-195951,6.36884e+06
-417790,-195683,6.36129e+06
-58481.5,-195250,6.37474e+06
-396794,-194548,6.36267e+06
420565,-193413,6.36118e+06
82298,-192711,6.37456e+06
441560,-192278,6.35979e+06
-256203,-192010,6.36996e+06
103337,-191576,6.37428e+06
-235179,-190874,6.3708e+06
124375,-190441,6.37394e+06
-214153,-189739,6.37158e+06
145412,-189305,6.37353e+06
-193124,-188604,6.37228e+06
166447,-188170,6.37305e+06
286117,-186767,6.36884e+06
-52367.3,-186065,6.37507e+06
307137,-185632,6.3679e+06
-390706,-185364,6.36332e+06
-31326.6,-184930,6.37524e+06
328154,-184496,6.36688e+06
-369704,-184229,6.36461e+06
-10285.4,-183795,6.37534e+06
349168,-183361,6.3658e+06
-348698,-183093,6.36583e+06
10756.1,-182660,6.37537e+06
370178,-182226,6.36464e+06
-327688,-181958,6.36698e+06
31797.8,-181524,6.37534e+06
-306674,-180823,6.36806e+06
172569,-178986,6.37315e+06
-165984,-178284,6.37335e+06
193603,-177851,6.37258e+06
-144949,-177149,6.37389e+06
214636,-176715,6.37194e+06
-123912,-176014,6.37437e+06
235666,-175580,6.37123e+06
-462113,-175312,6.35882e+06
-102874,-174878,6.37477e+06
-441126,-174177,6.36034e+06
376299,-173042,6.36454e+06
37916.2,-172340,6.37556e+06
397305,-171906,6.36329e+06
-300576,-171638,6.3686e+06
58958.4,-171205,6.37543e+06
418306,-170771,6.36198e+06
-279556,-170503,6.36959e+06
80000.2,-170069,6.37523e+06
439303,-169636,6.36059e+06
-258533,-169368,6.37051e+06
101041,-168934,6.37496e+06
-237508,-168233,6.37136e+06
241788,-166396,6.37124e+06
-96761.4,-165694,6.37511e+06
262816,-165260,6.37044e+06
-435040,-164992,6.36101e+06
-75720.5,-164559,6.37543e+06
283841,-164125,6.36957e+06
-414045,-163857,6.36244e+06
-54678.7,-163424,6.37567e+06
304863,-162990,6.36862e+06
-393046,-162722,6.3638e+06
-33636,-162288,6.37585e+06
325882,-161855,6.36761e+06
-372042,-161587,6.36509e+06
445423,-160451,6.3604e+06
107162,-159750,6.3751e+06
466414,-159316,6.35893e+06
-231403,-159048,6.37182e+06
128202,-158614,6.37474e+06
-210373,-157913,6.37257e+06
149242,-157479,6.37431e+06
-189340,-156778,6.37326e+06
170280,-156344,6.37381e+06
-168305,-155642,6.37388e+06
191316,-155209,6.37324e+06
-147269,-154507,6.37443e+06
332004,-152670,6.36752e+06
-365948,-152402,6.36567e+06
-6475.46,-151969,6.37619e+06
353019,-151535,6.36642e+06
-344938,-151267,6.36687e+06
14568.8,-150833,6.3762e+06
374031,-150400,6.36525e+06
-323924,-150132,6.368e+06
35613.2,-149698,6.37614e+06
395038,-149264,6.364e+06
-302906,-148996,6.36906e+06
56657.3,-148563,6.37602e+06
-281885,-147861,6.37005e+06
197438,-146024,6.37327e+06
-141157,-145323,6.37478e+06
218472,-144889,6.37261e+06
-120117,-144187,6.37524e+06
239504,-143754,6.37188e+06
-458370,-143486,6.35989e+06
-99076,-143052,6.37563e+06
260534,-142618,6.37108e+06
-437378,-142351,6.36139e+06
-78033.4,-141917,6.37594e+06
-416382,-141215,6.36283e+06
401157,-140080,6.36383e+06
62776.9,-139378,6.37617e+06
422160,-138945,6.3625e+06
-275782,-138677,6.37053e+06
83821,-138243,6.37595e+06
443159,-137809,6.36109e+06
-254756,-137542,6.37143e+06
104864,-137108,6.37566e+06
464152,-136674,6.35962e+06
-233727,-136406,6.37226e+06
125907,-135973,6.37531e+06
-212695,-135271,6.37302e+06
266655,-133434,6.37103e+06
-71918,-132733,6.37621e+06
287682,-132299,6.37014e+06
-410290,-132031,6.36342e+06
-50873.5,-131597,6.37644e+06
308706,-131164,6.36917e+06
-389287,-130896,6.36476e+06
-29828.3,-130462,6.3766e+06
329726,-130028,6.36814e+06
-368280,-129760,6.36604e+06
-8782.62,-129327,6.37668e+06
350743,-128893,6.36704e+06
-347268,-128625,6.36724e+06
12263.3,-128191,6.3767e+06
-326253,-127490,6.36837e+06
132028,-126788,6.37537e+06
-206587,-126087,6.37341e+06
153069,-125653,6.37492e+06
-185551,-124951,6.37408e+06
174109,-124518,6.37441e+06
-164513,-123816,6.37468e+06
195147,-123382,6.37382e+06
-143474,-122681,6.37521e+06
216183,-122247,6.37316e+06
-481691,-121979,6.35861e+06
-122432,-121546,6.37567e+06
-460704,-120844,6.36019e+06
356862,-119709,6.36688e+06
18382.1,-119007,6.37686e+06
377875,-118573,6.36569e+06
-320151,-118306,6.36886e+06
39428.6,-117872,6.37679e+06
398884,-117438,6.36443e+06
-299130,-117170,6.3699e+06
60474.8,-116737,6.37664e+06
419888,-116303,6.3631e+06
-278106,-116035,6.37088e+06
81520.4,-115601,6.37643e+06
-257079,-114900,6.37178e+06
222304,-113063,6.37312e+06
-116318,-112361,6.37595e+06
243337,-111928,6.37237e+06
-454613,-111660,6.3608e+06
-95274.4,-111226,6.37632e+06
264368,-110792,6.37156e+06
-433619,-110524,6.36228e+06
-74229.5,-110091,6.37662e+06
285397,-109657,6.37067e+06
-412619,-109389,6.3637e+06
-53183.6,-108955,6.37685e+06
-391615,-108254,6.36505e+06
426004,-107119,6.36286e+06
87640.6,-106417,6.37651e+06
447004,-105983,6.36143e+06
-250971,-105715,6.37218e+06
108686,-105282,6.3762e+06
467998,-104848,6.35994e+06
-229940,-104580,6.373e+06
129730,-104146,6.37583e+06
-208905,-103445,6.37374e+06
150773,-103011,6.37539e+06
-187869,-102310,6.37441e+06
171814,-101876,6.37487e+06
-166830,-101174,6.37502e+06
291516,-100473,6.37054e+06
-47066.3,-99771.1,6.37705e+06
312541,-99337.4,6.36956e+06
-385517,-99069.5,6.36557e+06
-26019.1,-98635.8,6.37718e+06
333562,-98202.1,6.36851e+06
-364507,-97934.2,6.36682e+06
-4971.44,-97500.5,6.37725e+06
354580,-97066.8,6.3674e+06
-343492,-96798.9,6.36801e+06
16076.4,-96365.2,6.37725e+06
375595,-95931.5,6.36621e+06
-322474,-95663.6,6.36912e+06
37124.1,-95229.9,6.37718e+06
-301452,-94528.4,6.37017e+06
177934,-92691.5,6.37484e+06
-160717,-91989.9,6.37531e+06
198973,-91556.2,6.37424e+06
-139675,-90854.6,6.37582e+06
220011,-90420.9,6.37356e+06
-477930,-90153,6.35943e+06
-118631,-89719.3,6.37627e+06
241046,-89285.6,6.37282e+06
-456940,-89017.8,6.36099e+06
-97586.4,-88584.1,6.37664e+06
-435944,-87882.5,6.36248e+06
381711,-86747.2,6.36598e+06
43243.7,-86045.6,6.37727e+06
402720,-85611.9,6.3647e+06
-295346,-85344,6.37059e+06
64291.4,-84910.3,6.37711e+06
423725,-84476.6,6.36335e+06
-274320,-84208.8,6.37154e+06
85338.5,-83775,6.37688e+06
444726,-83341.3,6.36193e+06
-253290,-83073.5,6.37243e+06
106385,-82639.8,6.37658e+06
-232257,-81938.2,6.37324e+06
247165,-80101.3,6.37271e+06
-91469.9,-79399.7,6.37685e+06
268197,-78966,6.37187e+06
-429848,-78698.2,6.36301e+06
-70423.1,-78264.5,6.37713e+06
289226,-77830.8,6.37096e+06
-408845,-77562.9,6.36441e+06
-49375.5,-77129.2,6.37734e+06
